2026-04-01 17:14:53, 18°C, 19°C, 53%, 709W/m2, 0.054%, 4%
2026-04-01 17:15:33, 28°C, 13°C, 60%, 661W/m2, 0.072%, 5%
2026-04-16 12:36:41, 27°C, 9°C, 53%, 624W/m2, 0.023%, 5%
2026-04-16 12:36:46, 23°C, 3°C, 54%, 525W/m2, 0.09%, 6%
2026-04-16 12:36:51, 28°C, 17°C, 50%, 699W/m2, 0.057%, 7%
2026-04-16 12:36:56, 20°C, 15°C, 56%, 546W/m2, 0.081%, 7%
2026-04-16 12:37:01, 29°C, 8°C, 54%, 529W/m2, 0.048%, 6%
2026-04-16 12:37:06, 24°C, 1°C, 52%, 546W/m2, 0.04%, 6%
2026-04-16 12:37:12, 29°C, 12°C, 52%, 703W/m2, 0.045%, 7%
2026-04-16 12:37:17, 22°C, 14°C, 59%, 518W/m2, 0.023%, 6%
2026-04-16 12:37:22, 29°C, 15°C, 60%, 677W/m2, 0.052%, 7%
2026-04-16 12:37:27, 18°C, 12°C, 51%, 603W/m2, 0.031%, 4%
2026-04-16 12:37:32, 28°C, 13°C, 59%, 701W/m2, 0.032%, 4%
2026-04-16 12:37:37, 27°C, 6°C, 55%, 644W/m2, 0.045%, 4%
2026-04-16 12:37:43, 26°C, 8°C, 60%, 510W/m2, 0.055%, 6%
2026-04-16 12:37:48, 25°C, 7°C, 57%, 625W/m2, 0.059%, 4%
2026-04-16 12:37:53, 28°C, 4°C, 59%, 557W/m2, 0.023%, 4%
2026-04-16 12:37:58, 28°C, 8°C, 53%, 558W/m2, 0.055%, 6%
2026-04-16 12:38:03, 21°C, 0°C, 59%, 549W/m2, 0.099%, 4%
2026-04-16 12:38:08, 27°C, 17°C, 51%, 584W/m2, 0.059%, 6%
2026-04-16 12:38:13, 28°C, 15°C, 52%, 712W/m2, 0.043%, 7%
2026-04-16 12:38:18, 21°C, 8°C, 52%, 669W/m2, 0.05%, 5%
2026-04-16 12:38:23, 29°C, 0°C, 55%, 564W/m2, 0.086%, 4%
2026-04-16 12:38:28, 18°C, 21°C, 57%, 545W/m2, 0.078%, 6%
2026-04-16 12:38:33, 22°C, 14°C, 59%, 691W/m2, 0.091%, 5%
2026-04-16 12:38:38, 30°C, 8°C, 53%, 591W/m2, 0.028%, 4%
2026-04-16 12:38:43, 25°C, 17°C, 60%, 683W/m2, 0.071%, 6%
2026-04-16 12:38:48, 18°C, 18°C, 54%, 619W/m2, 0.081%, 5%
2026-04-16 12:38:53, 20°C, 21°C, 57%, 666W/m2, 0.081%, 7%
2026-04-16 12:38:58, 26°C, 3°C, 52%, 586W/m2, 0.074%, 7%
2026-04-16 12:39:03, 22°C, 6°C, 55%, 551W/m2, 0.083%, 4%
2026-04-16 12:39:08, 30°C, 19°C, 58%, 621W/m2, 0.039%, 6%
2026-04-16 12:39:13, 24°C, 5°C, 59%, 512W/m2, 0.095%, 7%
2026-04-16 12:39:18, 19°C, 1°C, 55%, 509W/m2, 0.071%, 6%
2026-04-16 12:39:23, 26°C, 0°C, 58%, 606W/m2, 0.068%, 5%
2026-04-16 12:39:28, 24°C, 7°C, 52%, 568W/m2, 0.091%, 4%
2026-04-16 12:39:33, 27°C, 2°C, 56%, 635W/m2, 0.02%, 6%
2026-04-16 12:39:38, 25°C, 18°C, 51%, 664W/m2, 0.072%, 6%
2026-04-16 12:39:43, 22°C, 9°C, 60%, 684W/m2, 0.059%, 6%
2026-04-16 12:39:48, 25°C, 2°C, 54%, 714W/m2, 0.04%, 7%
2026-04-16 12:39:53, 25°C, 3°C, 55%, 621W/m2, 0.048%, 4%
2026-04-16 12:39:58, 26°C, 15°C, 56%, 582W/m2, 0.048%, 5%
2026-04-16 12:40:03, 26°C, 17°C, 54%, 564W/m2, 0.038%, 6%
2026-04-16 12:40:08, 28°C, 2°C, 59%, 558W/m2, 0.068%, 7%
2026-04-16 12:40:13, 29°C, 1°C, 58%, 551W/m2, 0.035%, 6%
2026-04-16 12:40:54, 30°C, 0°C, 56%, 667W/m2, 0.096%, 7%
2026-04-16 12:40:59, 25°C, 17°C, 52%, 589W/m2, 0.091%, 7%
2026-04-16 12:41:04, 26°C, 0°C, 56%, 629W/m2, 0.074%, 4%
2026-04-16 12:41:09, 24°C, 9°C, 52%, 561W/m2, 0.094%, 7%
2026-04-16 12:41:14, 30°C, 6°C, 50%, 540W/m2, 0.028%, 6%
2026-04-16 12:41:19, 19°C, 20°C, 53%, 580W/m2, 0.058%, 7%
2026-04-16 12:41:24, 19°C, 0°C, 60%, 551W/m2, 0.094%, 4%
2026-04-16 12:41:29, 18°C, 5°C, 58%, 580W/m2, 0.067%, 4%
2026-04-16 12:41:34, 23°C, 5°C, 50%, 662W/m2, 0.052%, 4%
2026-04-16 12:42:28, 23°C, 12°C, 59%, 510W/m2, 0.051%, 5%
2026-04-16 12:42:33, 25°C, 15°C, 55%, 556W/m2, 0.064%, 6%
2026-04-16 12:42:38, 21°C, 4°C, 53%, 524W/m2, 0.037%, 5%
2026-04-16 12:42:44, 19°C, 11°C, 51%, 565W/m2, 0.036%, 7%
2026-04-16 12:42:49, 29°C, 18°C, 59%, 698W/m2, 0.057%, 7%
2026-04-16 12:43:05, 19°C, 14°C, 56%, 520W/m2, 0.05%, 6%
2026-04-16 12:43:10, 30°C, 9°C, 52%, 601W/m2, 0.093%, 6%
